station,user,start
10205,796007821,69
10216,603632529,72
10220,503687911,7
10220,613620193,1
10220,613623976,9
10220,614514649,577
10220,694688107,1
10220,703571848,12
10220,736457198,130
10220,766515693,6
10220,766837110,95
10222,766806104,122
10223,504511138,70
10224,424815378,8
10224,603607296,84
10224,634555465,521
10224,694513932,114
10224,694551540,91
10227,604806704,37
10227,634620071,5
10227,684505671,62
10229,503620504,88
10229,504516309,433
10234,604890291,9
10234,613655029,63
10234,613666435,213
10234,624503163,67
10234,674626029,2
10234,703601407,787
10234,796094341,134
10242,633645561,249
10242,654665235,45
10243,604865749,40
10243,613650062,18
10243,633684052,76
10243,674662150,42
10243,767000913,190
10243,796676488,3
10243,796728435,5
10245,654634509,136
10245,654652041,143
10245,796140186,92
10246,426392761,13
10256,634809924,4
10256,654604274,258
10256,654604374,323
10256,796710028,14
10256,796754406,12
10262,603605371,686
10262,796326496,6
10268,703644118,102
10274,624608063,7
10274,641939951,2
10274,704512809,18
10276,766816278,10
10276,796837565,7
10277,633648437,61
10277,633653578,2
10277,796715186,147
10289,509057090,2
10289,613673616,19
10289,754884862,250
10298,674656083,804
10298,796205539,1188
10298,796210513,78
10298,796770032,41
10299,503633738,15
10299,654700927,41
10304,624601310,231
10304,634605649,41
10304,634608090,24
10304,684620855,7
10304,703690037,118
10305,458484281,147
10305,551515539,17
10305,603614598,216
10305,766857122,669
10305,766899036,610
10305,796829077,25
10306,504813100,11
10306,613626374,3
10306,613679386,41
10306,644608195,11
10306,654532376,27
10306,654554109,4
10306,654599476,16
10306,684624220,27
10306,703613592,6
10306,796682887,18
10309,466535919,4
10309,604808346,149
10309,664267017,2
10309,785921447,515
10309,796070952,14
10309,796708155,5
