station,user,start
10,503608823,3
10,503659249,114
10,514590173,57
10,555441213,395
10,603607121,38
10,603641178,1
10,604614712,4
10,613606485,1
10,613606497,312
10,613606631,5
10,613614927,186
10,644583666,3
10,644613757,7
10,654681350,62
10,664508503,1
10,674629520,386
10,674680753,49
10,684517429,3423
10,684609011,145
10,694627090,184
10,703640759,18
10,704808091,8
10,763450216,2
10,766112371,47
10,766808837,17
10,766815687,3
10,766860235,115
10,766879828,17
10,766883257,30
10,796024171,553
10,796054837,9
10,796066737,73
10,796164471,12
10,796455611,66
10,796674984,11
10,796743406,7
100,613620093,111
100,633609216,4
100,644603729,9
100,654690580,1
100,664563102,128
100,673412077,625
100,684509664,44
100,766517372,24
100,766874815,1
100,789949797,366
1003,412528371,34
1003,503640007,221
1003,504503457,660
1003,569565321,470
1003,603687169,45
1003,604519477,89
1003,604875785,24
1003,613610844,8
1003,613610960,18
1003,613647629,87
1003,624604405,2388
1003,624607261,47
1003,624610047,319
1003,633643920,405
1003,644568763,461
1003,644603512,857
1003,674613696,83
1003,674623086,24
1003,684512937,838
1003,694614268,1476
1003,703653569,2889
1003,704509404,30
1003,704814104,19
1003,704817423,315
1003,763418077,75
1003,766839242,3
1003,766839662,1239
1003,796002874,2
1003,796003000,217
1003,796075564,754
1003,796082624,506
1003,796602509,82
1003,796603559,194
1003,796629212,17
1003,796632114,15
1003,796651486,91
1003,796658749,1386
1003,796658916,2503
1003,796670178,84
1003,796730164,166
1010,475855575,81
1010,503629963,21
1010,522373116,3
1010,525851507,624
1010,552136936,60
1010,590292421,44
1010,613601193,66
1010,613636641,290
1010,613641943,16
1010,613648407,256
1010,613651607,33
1010,613678364,12
1010,624506683,1757
1010,624514866,1
1010,624580304,10
1010,633603989,1176
1010,633615996,3
1010,633637651,1
1010,633638607,494
1010,633639798,464
1010,633644518,4
1010,633676477,410
1010,644580948,1206
1010,644601714,17
1010,644604437,29
1010,644612796,418
1010,644614463,14
1010,644614837,67
1010,644618414,459
1010,654655586,45
1010,654662198,13
1010,654682948,18
1010,654683711,269
1010,654687300,380
1010,654687650,1362
1010,654688832,2
1010,654689167,602
1010,654689378,2077
1010,664525822,4
1010,664599861,286
1010,674638994,46
